QUARTER,REPORTING DISTRICT,DIVISION,BURG BUS-,BURG RES-,BURG OTH-,ROBB ST-,ROBB OTH-,MURD- ER,RAPE,AGGR ASSA- ULT,BURG “FROM AUTO,THEFT FROM AUTO,GRAND THEFT,THEFT FROM PERS,PURSE SNAT- CH,OTHER THEFT,BIKETHEFT,AUTO THEFT,BUNCO,TOTAL
2005Q1,0101,1,0,1,0,5,1,0,0,2,11,0,2,0,0,0,0,15,0,37
2005Q1,0105,1,0,1,2,1,0,0,0,2,1,3,0,1,0,1,0,7,0,19
2005Q1,0109,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
2005Q1,0110,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
2005Q1,0111,1,4,0,0,9,3,0,0,10,12,3,5,4,0,13,0,17,0,80
2005Q1,0112,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
2005Q1,0119,1,3,1,2,3,0,0,0,5,7,3,9,1,0,2,0,5,0,41
2005Q1,0121,1,2,0,1,0,0,0,0,0,3,0,4,0,0,0,0,1,0,11
2005Q1,0122,1,0,0,0,2,0,0,0,1,5,1,1,0,0,0,0,1,0,11
2005Q1,0123,1,1,0,0,0,0,0,0,1,5,0,1,0,0,1,0,1,0,10
2005Q1,0124,1,0,0,0,0,0,0,0,2,4,1,3,0,0,3,0,1,0,14
2005Q1,0127,1,0,0,0,0,0,0,0,3,0,0,2,1,0,1,0,0,0,7
2005Q1,0128,1,2,0,0,1,0,0,0,5,6,0,8,1,0,3,0,4,0,30
2005Q1,0129,1,0,0,1,1,0,0,0,1,5,1,0,0,0,1,0,1,0,11
2005Q1,0131,1,0,1,0,1,0,0,0,0,3,0,1,0,0,0,0,2,0,8
2005Q1,0132,1,0,0,0,1,0,0,0,0,9,2,0,0,0,3,0,1,0,16
2005Q1,0133,1,0,0,0,0,0,0,0,0,4,0,2,0,0,2,0,0,0,8
2005Q1,0134,1,1,0,0,5,2,0,0,0,1,0,0,2,1,5,0,0,0,17
2005Q1,0135,1,0,1,0,4,0,0,0,7,10,2,1,1,0,1,0,0,0,27
2005Q1,0138,1,2,0,0,4,0,0,0,4,15,0,2,1,0,4,0,4,0,36
2005Q1,0139,1,0,0,0,1,1,0,0,5,12,1,5,0,0,3,0,4,0,32
2005Q1,0141,1,0,0,0,0,0,0,0,1,2,0,0,0,0,1,0,0,0,4
2005Q1,0142,1,3,4,1,0,7,0,0,2,12,1,12,0,0,10,0,3,0,55
2005Q1,0143,1,0,0,0,5,0,0,0,0,3,0,1,2,0,2,0,0,0,13
2005Q1,0144,1,0,1,0,1,0,0,0,2,0,0,1,0,0,2,0,0,0,7
2005Q1,0145,1,0,0,0,4,0,0,0,3,1,0,1,0,0,1,0,2,0,12
2005Q1,0146,1,0,0,0,3,0,0,0,3,1,0,1,0,0,1,0,0,0,9
2005Q1,0147,1,0,1,1,2,0,0,0,4,0,0,1,0,1,3,0,1,0,14
2005Q1,0148,1,0,3,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,10
2005Q1,0151,1,0,0,0,2,0,0,0,1,2,1,6,0,0,1,0,0,0,13
2005Q1,0152,1,3,2,2,3,6,0,0,6,7,2,9,1,0,10,0,3,0,54
2005Q1,0153,1,2,2,2,9,6,0,0,7,5,1,21,3,0,20,0,1,1,80
2005Q1,0154,1,0,5,0,8,1,0,0,6,4,0,3,2,0,5,0,0,0,34
2005Q1,0155,1,0,0,0,4,0,0,0,10,4,0,2,2,0,3,0,0,1,26
2005Q1,0156,1,0,0,0,4,1,0,1,12,1,2,7,1,1,5,0,0,0,35
2005Q1,0157,1,3,1,0,4,0,0,0,6,6,3,1,2,0,4,0,8,0,38
2005Q1,0158,1,0,0,0,2,0,0,0,3,1,3,1,1,0,2,0,5,0,18
2005Q1,0159,1,1,1,0,4,0,1,0,1,14,0,4,1,0,4,0,6,0,37
2005Q1,0161,1,1,0,0,1,1,0,0,1,3,1,3,0,0,3,0,1,0,15
2005Q1,0162,1,3,1,1,1,4,0,0,4,11,2,14,0,0,28,0,7,0,76
2005Q1,0163,1,2,0,0,7,4,0,0,2,2,1,4,4,1,6,0,2,0,35
2005Q1,0164,1,0,0,1,3,1,0,0,7,1,0,2,1,0,2,0,2,0,20
2005Q1,0165,1,0,0,0,3,0,0,0,0,0,0,1,5,2,2,0,2,0,15
2005Q1,0166,1,0,0,0,2,1,0,0,9,2,0,0,0,0,3,0,0,0,17
2005Q1,0171,1,0,0,0,0,0,0,0,1,3,0,1,2,0,0,0,3,0,10
2005Q1,0174,1,2,0,0,3,5,0,1,3,3,0,0,0,0,5,0,3,0,25
2005Q1,0176,1,15,0,0,8,4,0,0,12,7,4,5,8,0,18,0,4,0,85
2005Q1,0181,1,0,0,0,1,0,0,0,1,12,2,3,0,0,9,0,3,0,31
2005Q1,0182,1,0,0,1,6,0,1,0,9,27,4,5,0,0,6,0,12,0,71
2005Q1,0185,1,13,0,0,5,3,0,0,1,10,6,7,4,0,14,0,4,0,67
2005Q1,0191,1,0,1,0,0,0,0,0,1,6,1,3,0,0,2,0,6,0,20
2005Q1,0192,1,3,3,1,2,1,1,0,3,21,5,4,1,1,3,0,13,0,62
2005Q1,0195,1,8,2,5,2,2,0,0,1,4,2,3,1,1,6,0,2,0,39
2005Q1,0211,2,0,0,0,9,1,0,1,4,5,3,1,0,0,4,0,7,0,35
2005Q1,0212,2,1,2,0,3,2,0,0,12,2,4,4,1,0,3,0,9,0,43
2005Q1,0213,2,1,1,0,3,0,0,0,2,8,3,3,0,1,5,0,21,0,48
2005Q1,0214,2,1,3,0,3,1,0,0,3,5,5,3,0,0,2,0,15,0,41
2005Q1,0215,2,2,4,3,5,3,0,0,3,9,8,3,0,0,4,0,15,0,59
2005Q1,0217,2,1,3,0,6,0,0,0,5,5,3,2,0,0,4,0,8,0,37
2005Q1,0219,2,0,5,1,1,1,0,0,2,3,3,0,0,0,2,0,3,0,21
2005Q1,0221,2,1,2,0,8,3,0,1,3,16,9,3,0,0,3,0,20,1,70
2005Q1,0222,2,1,5,2,4,0,1,0,7,3,3,1,0,0,2,0,4,0,33
2005Q1,0224,2,0,3,0,4,0,0,0,9,4,5,2,0,0,0,0,5,0,32
2005Q1,0231,2,1,3,0,8,1,0,0,3,9,4,3,0,0,2,0,3,0,37
2005Q1,0232,2,0,4,0,5,3,0,1,4,3,3,2,0,0,5,0,10,0,40
2005Q1,0233,2,2,3,0,1,3,0,0,6,5,2,8,1,0,7,0,7,0,45
2005Q1,0234,2,1,3,1,5,1,1,1,12,8,14,3,0,0,6,0,7,0,63
2005Q1,0235,2,0,2,0,4,0,0,1,2,11,1,3,0,0,0,0,15,0,39
2005Q1,0236,2,0,2,0,5,1,0,0,2,5,0,3,0,1,4,0,11,0,34
2005Q1,0237,2,1,1,1,6,2,1,1,9,14,5,3,3,0,3,0,10,0,60
2005Q1,0238,2,1,3,0,2,0,1,1,4,6,1,3,0,0,0,0,4,0,26
2005Q1,0239,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
2005Q1,0241,2,0,6,0,6,4,0,1,10,12,4,3,0,0,4,0,13,0,63
2005Q1,0242,2,3,2,2,6,1,0,1,6,14,3,7,1,0,2,0,10,0,58
2005Q1,0243,2,4,2,1,11,4,0,1,1,5,4,7,0,1,24,0,10,0,75
2005Q1,0244,2,0,6,0,3,1,0,0,5,3,3,3,0,0,3,0,4,0,31
2005Q1,0245,2,0,7,0,10,3,0,2,11,5,3,3,0,0,7,0,22,0,73
2005Q1,0246,2,0,3,0,4,5,0,1,12,12,6,4,0,0,9,0,9,0,65
2005Q1,0247,2,0,2,1,2,0,0,0,5,1,0,2,0,0,0,0,8,0,21
2005Q1,0249,2,3,2,0,5,2,0,0,8,3,1,8,0,0,2,0,6,1,41
2005Q1,0251,2,1,3,2,2,0,0,0,3,10,2,8,1,0,7,0,10,1,50
2005Q1,0252,2,1,3,0,6,2,0,1,6,8,7,3,0,1,3,0,8,0,49
2005Q1,0256,2,1,11,0,6,5,0,0,10,1,1,6,0,1,14,0,5,0,61
2005Q1,0257,2,1,3,2,2,0,0,0,3,7,1,3,0,0,2,0,5,1,30
2005Q1,0264,2,0,0,0,4,1,0,0,3,6,5,1,0,0,3,0,4,0,27
2005Q1,0266,2,0,11,0,10,0,0,0,17,3,1,3,2,1,2,0,1,1,52
2005Q1,0267,2,1,11,0,5,0,0,0,4,3,0,1,0,0,2,0,3,0,30
2005Q1,0269,2,2,1,0,7,2,0,0,5,7,3,2,0,0,1,0,2,0,32
2005Q1,0273,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
2005Q1,0275,2,1,2,0,5,3,0,0,5,6,3,7,0,1,11,0,12,0,56
2005Q1,0276,2,1,1,0,8,2,2,0,6,3,2,2,1,0,5,0,4,0,37
2005Q1,0279,2,0,0,0,1,0,0,0,4,1,0,1,0,0,3,0,2,0,12
2005Q1,0281,2,0,0,0,2,2,0,1,8,3,2,2,0,0,4,0,6,1,31
2005Q1,0282,2,2,0,0,3,3,0,0,11,6,4,5,0,0,2,0,14,0,50
2005Q1,0286,2,0,2,1,5,2,1,1,6,4,4,5,0,0,1,0,7,1,40
2005Q1,0289,2,1,1,1,3,1,0,0,0,4,1,2,0,0,1,0,1,0,16
2005Q1,0291,2,2,0,0,1,0,0,0,0,6,1,2,0,0,0,0,6,0,18
2005Q1,0292,2,0,1,0,2,0,0,0,1,4,0,1,0,0,1,0,2,0,12
2005Q1,0296,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,3
2005Q1,0299,2,1,0,0,1,0,0,0,05,2,0,0,0,1,2,0,0,0,12
2005Q1,0301,3,0,1,0,0,0,0,0,2,1,1,0,0,0,0,0,2,0,7
2005Q1,0303,3,0,0,0,0,0,3,0,2,2,0,0,0,0,3,0,0,0,10
2005Q1,0305,3,0,2,0,2,0,0,0,3,5,1,1,0,0,2,0,3,0,19
2005Q1,0307,3,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,5,0,9
2005Q1,0309,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,3
2005Q1,0311,3,0,1,1,3,0,2,0,14,7,2,2,1,0,1,0,8,0,42
2005Q1,0312,3,0,4,0,7,2,1,2,18,2,0,1,0,0,10,0,8,0,55
2005Q1,0313,3,0,1,0,0,0,0,0,5,2,0,0,1,0,2,0,1,0,12
2005Q1,0314,3,0,7,0,7,1,0,0,4,4,5,1,0,0,2,0,10,0,41
2005Q1,0315,3,0,5,0,6,2,0,1,3,10,5,3,2,1,2,0,4,0,44
2005Q1,0316,3,0,6,0,4,0,0,0,5,4,5,4,0,0,2,0,12,0,42
2005Q1,0317,3,0,0,0,2,0,0,1,4,2,1,0,0,0,0,0,7,0,17
2005Q1,0318,3,2,2,0,1,4,0,0,1,1,1,0,0,0,0,0,14,0,26
2005Q1,0319,3,0,2,0,2,0,0,0,3,7,4,1,0,0,10,0,15,1,45
2005Q1,0321,3,4,2,2,2,1,1,0,3,3,0,6,1,0,18,0,6,0,49
2005Q1,0326,3,1,3,0,6,0,0,0,8,5,7,1,0,0,3,0,9,1,44
2005Q1,0327,3,0,2,2,8,3,0,1,7,10,3,3,1,1,9,0,15,0,65
2005Q1,0328,3,0,5,1,6,2,0,0,4,15,7,5,0,0,20,0,11,0,76
2005Q1,0329,3,1,0,0,1,0,0,1,0,2,0,2,0,0,0,0,4,0,11
2005Q1,0331,3,1,3,0,4,2,0,1,11,5,2,3,1,0,5,0,9,0,47
2005Q1,0332,3,0,8,0,0,0,1,1,6,5,2,2,1,0,2,0,6,0,34
2005Q1,0333,3,4,2,1,2,4,0,0,4,6,1,2,0,0,2,0,3,0,31
2005Q1,0334,3,2,6,0,5,3,1,0,9,2,3,2,0,0,6,0,5,0,44
2005Q1,0335,3,1,1,0,1,0,0,0,4,0,0,1,2,0,1,0,3,0,14
2005Q1,0336,3,2,2,1,3,1,1,0,6,0,1,0,0,0,2,0,3,0,22
2005Q1,0337,3,0,2,0,4,0,0,0,5,1,0,2,0,0,3,0,18,0,35
2005Q1,0338,3,2,6,1,9,3,1,1,0,4,4,3,1,0,17,0,15,0,67
2005Q1,0341,3,0,4,0,2,1,0,0,2,8,1,1,0,0,4,0,3,0,26
2005Q1,0343,3,1,0,1,0,2,0,0,0,1,0,0,0,0,3,0,2,0,10
2005Q1,0351,3,2,0,2,1,2,0,0,3,0,0,2,1,0,5,0,1,0,19
2005Q1,0353,3,0,0,0,2,1,0,1,5,3,1,0,0,0,3,0,3,0,19
2005Q1,0354,3,0,3,0,1,0,2,0,4,2,1,1,0,0,9,0,4,0,27
2005Q1,0355,3,0,5,0,4,0,0,1,12,4,0,1,0,0,5,0,6,0,38
2005Q1,0356,3,0,4,0,3,1,0,0,3,3,0,1,1,0,6,0,9,0,31
2005Q1,0357,3,0,11,1,7,0,0,0,9,11,3,2,0,1,2,0,18,0,65
2005Q1,0358,3,1,11,21,1,0,0,1,0,13,5,25,0,0,76,0,8,0,162
2005Q1,0359,3,0,4,2,0,0,0,0,3,3,1,0,0,0,2,0,1,0,16
2005Q1,0361,3,0,3,0,5,4,0,0,15,5,4,3,0,0,4,0,15,0,58
2005Q1,0362,3,0,6,1,7,3,0,2,15,6,3,1,0,0,7,0,24,0,75
2005Q1,0363,3,5,6,3,11,5,0,1,14,8,10,14,2,1,64,0,23,0,167
2005Q1,0373,3,0,4,0,1,2,0,0,1,4,2,1,1,0,5,0,5,0,26
2005Q1,0374,3,1,4,0,2,0,0,0,4,3,2,3,0,0,3,0,5,0,27
2005Q1,0375,3,0,4,0,3,7,1,0,7,5,6,6,2,0,7,0,10,0,58
2005Q1,0376,3,0,5,1,4,0,0,0,5,6,0,4,0,0,6,0,10,0,41
2005Q1,0377,3,3,5,0,11,6,0,0,12,5,2,4,0,1,8,0,10,0,67
2005Q1,0378,3,2,0,3,3,0,0,0,2,12,0,3,0,0,3,0,5,0,33
2005Q1,0391,3,0,4,0,3,1,0,0,6,6,1,3,0,1,1,0,5,0,31
2005Q1,0392,3,0,4,3,3,2,0,0,12,9,3,3,1,0,5,0,6,0,51
2005Q1,0393,3,2,7,0,4,4,1,0,13,3,3,7,1,0,8,0,9,0,62
2005Q1,0394,3,0,3,0,2,0,0,0,1,1,3,0,0,0,1,0,6,0,17
2005Q1,0395,3,3,6,1,12,4,1,0,10,7,4,8,1,1,7,0,12,0,77
2005Q1,0397,3,2,5,0,13,6,0,1,12,7,3,1,5,0,16,0,19,1,91
2005Q1,0398,3,1,7,1,19,1,0,0,22,23,3,0,1,1,6,0,17,0,102
2005Q1,0399,3,0,0,0,4,2,0,0,5,1,3,1,0,0,3,0,5,0,24
2005Q1,0401,4,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,4
